,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
5242,648,52559,572,b'GALAXY',b'STARFORMING',0.07763737,451.2112,71.54104,46.57303,225.9767,15.90183,71.31747,58.21898,-42.52698,-20.35245
5243,649,52201,72,b'GALAXY',b'STARBURST',0.1622851,1030.784,251.7146,291.5435,370.5158,35.12087,168.4786,131.5703,-120.1504,-43.8415
5244,649,52201,409,b'GALAXY',b'STARBURST',0.05451148,240.8049,71.87299,107.5015,30.77346,10.51772,52.9776,36.08993,-37.3927,-4.374139
5245,650,52143,553,b'GALAXY',b'STARFORMING',0.1897766,329.9846,57.80522,59.94439,206.719,13.10919,47.01302,46.98729,-31.80605,-19.98129
5246,651,52141,54,b'GALAXY',b'STARBURST',0.03499508,884.3333,202.8353,54.97648,292.8985,16.67216,149.348,110.9186,-52.64675,-17.44218
5247,652,52138,410,b'GALAXY',b'STARFORMING',0.1797697,414.4031,82.5246,32.19243,145.192,12.68827,62.06519,47.91967,-44.72541,-14.88869
5248,652,52138,499,b'GALAXY',b'STARBURST',0.01779847,1364.36,457.7849,1111.992,182.8253,36.20478,221.6681,152.1036,-49.34426,-6.791307
5249,655,52162,141,b'GALAXY',b'STARFORMING',0.05434127,271.6026,69.38017,10.6993,89.61143,7.230436,43.30032,29.7156,-24.61666,-7.877538
5250,655,52162,170,b'GALAXY',b'STARFORMING',0.07668372,688.6664,176.3106,71.68863,366.4101,21.18055,108.5067,97.53572,-33.10377,-17.58282
5251,655,52162,268,b'GALAXY',b'STARBURST',0.0944421,587.5234,101.2174,19.59405,254.9059,12.52441,69.30014,58.61407,-43.53814,-18.96225
5252,656,52148,211,b'GALAXY',b'STARFORMING',0.1359217,353.5939,82.44966,33.35091,149.0395,13.30172,53.18251,45.78475,-28.05158,-11.95751
5253,656,52148,272,b'GALAXY',b'',0.1133215,444.4812,101.4834,19.10043,160.2718,10.17766,59.2277,42.68634,-27.84568,-10.4513
5254,656,52148,513,b'GALAXY',b'STARFORMING',0.0202446,852.4214,130.2416,33.73624,318.7394,19.64627,122.5813,88.62905,-21.80925,-8.076249
5255,656,52148,634,b'GALAXY',b'STARFORMING',0.1196403,332.5372,60.25583,29.76043,130.2786,9.462047,61.75617,39.6539,-33.3279,-12.4319
5256,657,52177,57,b'GALAXY',b'STARFORMING',0.05717795,776.3257,143.4957,44.41833,353.1926,24.78127,127.0247,93.52511,-20.58275,-9.418871
5257,657,52177,354,b'GALAXY',b'STARBURST',0.1198057,306.0439,67.07294,37.62456,88.72418,12.4919,55.14093,37.89124,-40.52453,-11.07455
5258,658,52146,247,b'GALAXY',b'STARBURST',0.05715236,321.6785,107.9605,128.2521,50.00444,8.911832,71.3329,50.65152,-51.34275,-7.756778
5259,658,52146,581,b'GALAXY',b'STARFORMING',0.04568283,280.1423,83.79513,167.0452,33.88058,8.454517,54.03477,37.76154,-36.6637,-4.287122
5260,659,52199,523,b'GALAXY',b'STARBURST',0.1637117,433.7685,115.5664,116.6403,107.1789,12.97238,81.52553,55.03455,-68.95026,-16.58917
5261,660,52177,275,b'GALAXY',b'STARBURST',0.1238017,847.8422,161.9191,34.74924,319.4232,17.72254,118.6537,85.75523,-55.57944,-21.31073
5262,660,52177,334,b'GALAXY',b'',0.05297286,104.8799,32.32801,46.92904,97.42126,25.8047,43.39487,41.45182,-2.902488,-2.438684
5263,660,52177,408,b'GALAXY',b'STARFORMING',0.197375,441.5732,84.53482,47.21766,213.1985,24.3458,66.14211,49.51035,-38.67125,-16.88574
5264,660,52177,615,b'GALAXY',b'STARFORMING',0.1253919,282.1475,63.36724,16.31031,125.7631,13.10001,50.44463,38.15232,-28.61374,-12.80445
5265,661,52163,453,b'GALAXY',b'STARFORMING',0.04213311,331.8363,101.7691,103.9505,70.6511,10.07086,74.20694,53.21679,-30.93582,-6.294948
5266,662,52178,27,b'GALAXY',b'STARBURST',0.07032045,551.8757,135.1204,170.8584,103.8508,19.34081,111.1287,74.86563,-66.28749,-12.5731
5267,662,52178,243,b'GALAXY',b'STARFORMING',0.0871923,636.3907,152.6855,52.24118,298.1414,23.37201,119.6285,89.11053,-32.85912,-15.33068
5268,662,52178,459,b'GALAXY',b'',0.1474759,508.0307,105.4685,100.0805,172.6014,16.91063,80.52808,57.10199,-52.96008,-17.29999
5269,663,52145,70,b'GALAXY',b'AGN',0.1121788,199.6715,36.6984,61.68526,201.8709,21.85899,52.28892,47.61745,-13.38194,-13.64667
5270,663,52145,286,b'GALAXY',b'STARFORMING',0.04869509,237.5246,65.2727,37.25405,63.47886,8.040286,58.09369,39.86443,-28.43237,-7.790352
5271,664,52174,52,b'GALAXY',b'STARBURST',0.04341482,754.531,230.3242,799.3695,46.12933,11.33956,77.25213,58.90189,-137.3627,-8.830672
5272,664,52174,482,b'GALAXY',b'STARBURST',0.08391124,1702.676,488.2867,331.054,495.6798,34.55957,277.962,196.6167,-74.84435,-22.01715
5273,664,52174,500,b'GALAXY',b'STARBURST',0.1781085,679.8342,149.0391,161.6268,213.8119,34.69736,106.9022,88.88152,-112.7051,-37.61608
5274,665,52168,62,b'GALAXY',b'STARFORMING',0.07145674,195.4997,41.72005,12.23499,90.6227,9.864004,28.03375,29.24355,-17.74177,-8.289719
5275,665,52168,199,b'GALAXY',b'STARFORMING',0.05286611,161.6444,43.26762,12.10584,53.10539,7.502275,35.62473,24.2102,-18.44155,-5.78627
5276,666,52149,126,b'GALAXY',b'STARFORMING',0.1434856,137.8753,26.43112,11.91169,62.01736,8.809665,20.85376,14.18978,-12.19211,-5.430795
5277,666,52149,337,b'GALAXY',b'STARFORMING',0.09432917,399.8929,87.69491,49.91457,150.8647,15.46236,70.79963,52.59346,-35.51205,-13.44502
5278,666,52149,461,b'GALAXY',b'STARFORMING',0.07907705,179.1684,46.98984,18.79236,58.4674,5.237623,39.09421,26.10227,-21.61406,-6.949212
5279,666,52149,500,b'GALAXY',b'',0.1362331,34.51199,8.332625,78.52409,41.67744,8.463758,12.47297,12.23872,-2.739186,-3.668345
5280,666,52149,523,b'GALAXY',b'STARFORMING',0.1124552,245.4079,61.64209,23.54883,94.28592,8.282449,45.84764,30.62439,-21.62269,-8.369269
5281,667,52163,559,b'GALAXY',b'STARFORMING',0.1080809,316.623,80.49449,27.70298,103.6954,10.45787,61.12229,44.68624,-40.65044,-14.02064
5282,667,52163,596,b'GALAXY',b'STARFORMING',0.01579793,71.3397,25.24824,35.94773,9.209644,7.946944,22.37047,14.19823,-9.821133,-1.410547
5283,736,52221,443,b'GALAXY',b'STARBURST',0.05998175,785.0992,161.1687,101.541,354.1365,35.1831,163.1171,134.9544,-56.34101,-25.24788
5284,737,52518,12,b'GALAXY',b'STARFORMING',0.02991787,1151.917,210.9356,40.40425,429.5158,25.51373,197.111,133.4305,-40.20828,-14.95213
5285,737,52518,431,b'QSO',b'AGN',0.2179218,389.2826,77.11533,337.4016,320.8701,19.22888,65.62718,60.64163,-39.36141,-29.33961
5286,737,52518,432,b'GALAXY',b'STARBURST',0.08340699,477.2999,138.1785,65.4952,154.967,9.739016,93.61732,62.76917,-51.84004,-17.18294
5287,737,52518,624,b'GALAXY',b'STARBURST',0.06970516,1226.137,287.4123,116.8603,435.0308,21.88775,188.1997,135.527,-71.91555,-25.6862
5288,740,52263,132,b'GALAXY',b'BROADLINE',0.1475799,370.1782,63.46167,341.2615,241.6486,36.5899,110.2051,76.78226,-29.90707,-17.59933
5289,740,52263,385,b'GALAXY',b'STARBURST',0.09009044,366.7457,117.9806,128.8835,80.71471,10.03307,67.52675,45.26447,-67.04348,-14.64867
5290,741,52261,258,b'GALAXY',b'STARFORMING',0.07951738,544.1813,107.9717,55.85464,286.6839,18.19721,103.6963,66.08404,-33.98074,-18.13252
5291,742,52263,52,b'GALAXY',b'AGN',0.02765166,658.7389,149.0254,239.7087,543.4044,47.30094,141.631,100.9775,-6.656064,-5.391631
5292,742,52263,261,b'GALAXY',b'STARFORMING',0.02871689,2035.338,555.084,1336.728,819.3454,82.54812,495.0472,350.9023,-27.60361,-11.15052
5293,742,52263,625,b'GALAXY',b'STARBURST',0.03966592,458.4097,104.7375,159.5931,103.9254,38.9503,117.8207,80.67973,-45.48717,-10.15537
5294,744,52251,113,b'GALAXY',b'STARBURST',0.08121887,575.0596,154.9757,325.0493,93.37408,13.84609,69.50221,56.7518,-66.47311,-10.70687
5295,744,52251,294,b'GALAXY',b'STARFORMING',0.01639483,772.2056,119.8043,74.79865,420.5798,27.99393,119.2096,106.5875,-19.38843,-10.55488
5296,744,52251,411,b'GALAXY',b'STARBURST',0.08352294,200.5081,51.79932,89.12448,29.81457,8.687301,42.43743,27.01054,-45.87389,-6.704067
5297,744,52251,427,b'GALAXY',b'STARFORMING',0.06872604,475.6544,129.9546,114.7317,90.02967,16.23209,105.5175,76.4446,-37.53239,-6.90938
5298,746,52238,14,b'GALAXY',b'STARFORMING',0.08699607,144.4869,31.62255,26.07298,46.80073,9.415884,27.85059,24.91323,-16.1499,-5.339445
5299,747,52234,196,b'GALAXY',b'STARBURST',0.05634219,399.0035,107.1078,106.5189,83.93732,10.9795,68.68015,51.06746,-49.94323,-10.51423
5300,747,52234,437,b'GALAXY',b'STARFORMING',0.06520832,422.6642,95.36043,51.56223,220.7612,19.31437,80.01679,66.38104,-28.81045,-15.03591
5301,749,52226,17,b'GALAXY',b'STARBURST',0.03638711,2070.794,468.1318,228.2782,765.9763,60.14506,383.4808,284.1732,-66.57525,-24.9192
5302,749,52226,27,b'GALAXY',b'STARFORMING',0.026699,247.0764,80.4659,171.6647,27.32097,13.8234,45.13092,39.39238,-30.631,-3.04258
5303,749,52226,138,b'GALAXY',b'STARFORMING',0.09559207,318.2464,71.04292,52.46206,372.8556,33.7369,83.71326,77.60298,-24.05732,-24.87281
5304,750,52235,62,b'GALAXY',b'STARFORMING',0.110583,451.2471,96.08193,25.75585,174.4368,16.49472,71.75503,47.40725,-36.41873,-15.48541
5305,750,52235,265,b'GALAXY',b'STARFORMING',0.03854777,257.6972,77.97937,64.81079,66.27062,10.20996,63.85295,45.6034,-31.13872,-7.286352
5306,751,52251,22,b'GALAXY',b'STARFORMING',0.07112552,401.3362,95.27197,90.91304,117.9958,15.48466,78.93659,60.00705,-22.37255,-6.319478
5307,751,52251,629,b'GALAXY',b'STARBURST',0.002877967,3188.002,1048.821,5022.558,46.96081,14.69436,100.5802,67.76201,-381.0586,-6.070505
5308,752,52251,613,b'GALAXY',b'STARFORMING',0.07886664,249.5961,61.0203,45.03493,126.1266,13.10306,47.10919,34.61746,-14.15409,-6.918345
5309,753,52233,119,b'GALAXY',b'STARBURST',0.01742825,412.315,145.9769,373.3947,23.98384,12.65003,52.87384,40.24178,-45.32073,-2.601168
